Title,Author,Goodreads Rating
Secret seven on the trail,Enid Blyton,3.82
The Rilloby Mystery,Enid Blyton,3.94
The treasure hunt ,Christine Gomez,3.75
Selected stories of Sherlock Holmes,Sir Arthur Conan Doyle,3.98
A book of naughty Children,Enid Blyton,3.92
The Mystery Club - Deadly Games,Fiona kelly,3.61
Sweet valley High - The Wedding,Francine Pascal's,3.53
The 5 Find Outers - The mystery of Spiteful Letters,Enid Blyton,4.02
The River of Adventure,Enid Blyton,4.04
The Present,Spencer Johnson,4.22
Success Stories,RD collection,4.13
You can Negotiate anything,Herb Cohen,3.85
How to win any argument,Robert Mayer,0
Personal Excellence,Ken Shelton,4.05
Yoga,Vivekanand Kendra Prakashan,4.33
Mein Kampf,Adolf Hitler,3.15
Bringing up kids,RD collection,4.2
A story of my life,MK gandhi,4.08
Tatia Tope,Bharata Bharati,4.57
Alice In Wonderland,Disney,4.03
Love & Marriage,,3.54
Tinkle,,3.96
Great Short Stories,,3.68
Why Vegetarianism,,3.38
Heaven On Earth,Rev. Nandiyashasriji,4.14
The Mind and its control,Swami Budhananda,4.42
How to survive Your Money problems,katherine Whitehorn,3.64
The Greatest: My own story. Muhammad Ali,Richard Durham,4.21
English Made Easy,V.H. Baskaran,4.33
Heidi,Johanna Spyri,3.98
Goosebumps Ten Spooky Stories,R.L.Stine,3.98
The Mystery Of The Hidden House,Enid Blyton,3.98
Roar Your Way to Excellence,Swami Sukhabodhananda,4
Fever,Robin Cook,3.91
Himalayan Blunder,Brig J P dalvi,4.26
Microsoft Office System 2003 edition,"prentice Hall/ Michael J Young, Maichael halvorson",0
"Hardy Boys, Ghost stories",Franklin W. Dixon,3.72
Kafka on the shore,Haruki Murakami,4.14
Half Girlfriend,Chetan Bhagat,3.16
Angel Of the Dark,Sidney Sheldon(Tilly Bagshawe),3.74
Brida,Paulo Coelho,3.47
What Young India Wants,Chetan Bhagat,3.27
2 states,Chetan Bhagat,3.42
2 states,Chetan Bhagat,3.42
Revolution 2020,Chetan bhagat,3.09
Indecent Exposure,David McClintick,4.1
Deception,Philip Roth,3.7
One night @ the call center,Chetan bhagat,2.49
"Illusions, The adventures of a reluctant Messiah",Richard Bach,4.15
The Impossible is possible,John Mason,4.14
Caught in the Light,Robert Goddard,3.93
Endless Night,Agatha Christie,3.76
The Racketeer,John Grisham,3.81
Swami Vivekananda- awakener of Modern india,R. ramakrishnan,4
Voice of Vivekananda,Ramakrishna Math,4.67
The Great Short Stories,Guy De Maupassant,3.68
Kramer versus Kramer,Avery Corman,3.84
Thus spake Vivekananda,Ramakrishna Math,4.15
Broken Wings,Virginia Andrews,3.92
Vivekananda speaks to you,Ramakrishna Math,4.64
Swami Vivekananda- His life and Legacy,Swami Tapasyananda,4.31
Vivekananda writes to you,Ramakrishna Math,4.86
Kane and Abel,Jeffrey Archer,4.29
The Burning Shore,Wilbur Smith,4.18
Yours until Dawn,Teresa Medeiros,4.09
The Perfect Seduction,Leslie Lafoy,4.04
Jaws,Peter Benchley,3.97
Genevieve,Cristobal Schmidt,4.13
Nancy Drew- case of the twin Teddy Bears,Carolyn Kleene,3.86
The Liberation of Planet Earth,Hal Lindsey,3.27
High School English Grammar and Composition,Wren and Martin,4.14
Alice's Adventures In Wonderland,Lewis caroll,4
Mr. Meddle's Mischief,Enid Blyton,3.96
Adventures in Thailand,Anthony M Alessi,3.66
Thank You jeeves,P.G Wodehouse,4.25
The GodFather,Mario Puzo,4.37
The Hades Factor,Robert Ludlum and gayle Lynds,3.88
Angels and Demons,Dan brown,3.88
The Firm,John grisham,4
The Alchemist,Paulo Coelho,3.85
City of Gold,Len Delighton,4.06
Only Love,Erich Segal,4.02
Silent Honour,Danielle Steel,3.99
Irresistible Forces,Danielle Steel,3.64
Hardy Boys-The house on the Cliff 2,Franklin W Dixon,3.9
Hardy Boys- The tower Treasure 1,Franklin W Dixon,3.9
Hardy Boys- The Secret of the Old Mill 3,Franklin W Dixon,3.85
The Love Trap,Barbara Cartland,3.97
Skipping Christmas ,John Grisham,3.48
At First Sight,Nicholas Sparks,3.79
Seizure,Robin Cook,3.57
Power of a woman,Barbara Taylor Bradford,4.4
Gossip Girl,Annabelle Vestry,3.51
A bend in the Road,Nicholas Sparks,4.03
Spouse,Shobhaa De,3.1
Lajja,Taslima Nasrin,3.47
The Lost Symbol,Dan Brown,3.69
The Island,Peter Benchley,3.83
The Walking Dead,Gerald Seymour,4.44
New Moon,Stephenie Meyer,3.53
Brisingr,Christoher paolini,4.05
The Tennis party,Sophie Kinsella,2.99
34 Bubblegums and Candies,Preeti Shenoy,3.31
The Last Don,Mario Puzo,3.82
